date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:39:18	95699/95699	---M-Z	200	added ('OK')	text/html	etag:%22175d3-650302a6-4504816fa035afe7;gz%22	https://themewant.com/products/html/kester/index-six.html	C:/My%20Web%20Sites/ball/themewant.com/products/html/kester/index-six.html	(from https://themewant.com/products/html/kester/index-two.html)
01:39:19	102292/102292	---M-Z	200	added ('OK')	text/html	etag:%2218f94-650302a6-3304a64459786d5c;gz%22	https://themewant.com/products/html/kester/index-seven.html	C:/My%20Web%20Sites/ball/themewant.com/products/html/kester/index-seven.html	(from https://themewant.com/products/html/kester/index-two.html)
01:39:19	87491/87491	---M-Z	200	added ('OK')	text/html	etag:%22155c3-650302a6-530aa8333e25eb0d;gz%22	https://themewant.com/products/html/kester/index-eight.html	C:/My%20Web%20Sites/ball/themewant.com/products/html/kester/index-eight.html	(from https://themewant.com/products/html/kester/index-two.html)
01:39:19	55242/55242	---M-Z	200	added ('OK')	text/html	etag:%22d7ca-650302a6-c74d402053f286f9;gz%22	https://themewant.com/products/html/kester/about.html	C:/My%20Web%20Sites/ball/themewant.com/products/html/kester/about.html	(from https://themewant.com/products/html/kester/index-two.html)
01:39:19	54617/54617	---M-Z	200	added ('OK')	text/html	etag:%22d559-650302a6-f5c52750f972fdab;gz%22	https://themewant.com/products/html/kester/team.html	C:/My%20Web%20Sites/ball/themewant.com/products/html/kester/team.html	(from https://themewant.com/products/html/kester/index-two.html)
01:39:20	55491/55491	---M-Z	200	added ('OK')	text/html	etag:%22d8c3-650302a6-356623dccdb2053c;gz%22	https://themewant.com/products/html/kester/team-details.html	C:/My%20Web%20Sites/ball/themewant.com/products/html/kester/team-details.html	(from https://themewant.com/products/html/kester/index-two.html)
01:39:20	46394/46394	---M-Z	200	added ('OK')	text/html	etag:%22b53a-650302a6-b63966f16dac3569;gz%22	https://themewant.com/products/html/kester/history.html	C:/My%20Web%20Sites/ball/themewant.com/products/html/kester/history.html	(from https://themewant.com/products/html/kester/index-two.html)
01:39:20	51652/51652	---M-Z	200	added ('OK')	text/html	etag:%22c9c4-650302a6-7472fdf6656ff39f;gz%22	https://themewant.com/products/html/kester/faq.html	C:/My%20Web%20Sites/ball/themewant.com/products/html/kester/faq.html	(from https://themewant.com/products/html/kester/index-two.html)
01:39:20	55930/55930	---M-Z	200	added ('OK')	text/html	etag:%22da7a-650302a6-7ddfb608d56f7e81;gz%22	https://themewant.com/products/html/kester/gallery.html	C:/My%20Web%20Sites/ball/themewant.com/products/html/kester/gallery.html	(from https://themewant.com/products/html/kester/index-two.html)
01:39:21	49791/49791	---M-Z	200	added ('OK')	text/html	etag:%22c27f-650302a6-b506d3ccca7295e2;gz%22	https://themewant.com/products/html/kester/event.html	C:/My%20Web%20Sites/ball/themewant.com/products/html/kester/event.html	(from https://themewant.com/products/html/kester/index-two.html)
01:39:21	49181/49181	---M-Z	200	added ('OK')	text/html	etag:%22c01d-650302a6-5453326a99d6db54;gz%22	https://themewant.com/products/html/kester/event-details.html	C:/My%20Web%20Sites/ball/themewant.com/products/html/kester/event-details.html	(from https://themewant.com/products/html/kester/index-two.html)
01:39:21	4468/4468	---M-Z	200	added ('OK')	text/html	etag:%221174-650302a6-745c9bb8d9d26525;gz%22	https://themewant.com/products/html/kester/error.html	C:/My%20Web%20Sites/ball/themewant.com/products/html/kester/error.html	(from https://themewant.com/products/html/kester/index-two.html)
01:39:21	53613/53613	---M-Z	200	added ('OK')	text/html	etag:%22d16d-650302a6-6e664b270bd67bc7;gz%22	https://themewant.com/products/html/kester/match-schedule.html	C:/My%20Web%20Sites/ball/themewant.com/products/html/kester/match-schedule.html	(from https://themewant.com/products/html/kester/index-two.html)
01:39:22	54412/54412	---M-Z	200	added ('OK')	text/html	etag:%22d48c-650302a6-1a015e95efed2c42;gz%22	https://themewant.com/products/html/kester/match-result.html	C:/My%20Web%20Sites/ball/themewant.com/products/html/kester/match-result.html	(from https://themewant.com/products/html/kester/index-two.html)
01:39:22	51984/51984	---M-Z	200	added ('OK')	text/html	etag:%22cb10-650302a6-3f9303f3ba20d490;gz%22	https://themewant.com/products/html/kester/league-standings.html	C:/My%20Web%20Sites/ball/themewant.com/products/html/kester/league-standings.html	(from https://themewant.com/products/html/kester/index-two.html)
01:39:22	65764/65764	---M-Z	200	added ('OK')	text/html	etag:%22100e4-650302a6-32fa38ebbd57ba95;gz%22	https://themewant.com/products/html/kester/shop.html	C:/My%20Web%20Sites/ball/themewant.com/products/html/kester/shop.html	(from https://themewant.com/products/html/kester/index-two.html)
01:39:22	64531/64531	---M-Z	200	added ('OK')	text/html	etag:%22fc13-650302a6-94e0e92924f90650;gz%22	https://themewant.com/products/html/kester/product-details.html	C:/My%20Web%20Sites/ball/themewant.com/products/html/kester/product-details.html	(from https://themewant.com/products/html/kester/index-two.html)
01:39:22	49911/49911	---M-Z	200	added ('OK')	text/html	etag:%22c2f7-650302a6-4b82d6c619f9ab32;gz%22	https://themewant.com/products/html/kester/cart.html	C:/My%20Web%20Sites/ball/themewant.com/products/html/kester/cart.html	(from https://themewant.com/products/html/kester/index-two.html)
01:39:23	48891/48891	---M-Z	200	added ('OK')	text/html	etag:%22befb-650302a6-d3699732b10d66f5;gz%22	https://themewant.com/products/html/kester/checkout.html	C:/My%20Web%20Sites/ball/themewant.com/products/html/kester/checkout.html	(from https://themewant.com/products/html/kester/index-two.html)
